start,P_or_T_above,time_until_peak,time_until_trough,peaks_above,troughs_above
0,False,17,5,0,0
1,False,16,4,0,0
2,False,15,3,0,0
3,False,14,2,0,0
4,False,13,1,0,0
5,False,12,20,0,0
6,False,11,19,0,0
7,False,10,18,0,0
8,False,9,17,0,0
9,False,8,16,0,0
10,False,7,15,0,0
11,False,6,14,0,0
12,False,5,13,0,0
13,False,4,12,0,0
14,False,3,11,0,0
15,False,2,10,0,0
16,False,1,9,0,0
17,False,15,8,0,0
18,False,14,7,0,0
19,False,13,6,0,0
20,False,12,5,0,0
21,False,11,4,0,0
22,False,10,3,0,0
23,False,9,2,0,0
24,False,8,1,0,0
25,False,7,13,0,0
26,False,6,12,0,0
27,False,5,11,0,0
28,False,4,10,0,0
29,False,3,9,0,0
30,False,2,8,0,0
31,False,1,7,0,0
32,False,12,6,0,0
33,False,11,5,0,0
34,False,10,4,0,0
35,False,9,3,0,0
36,False,8,2,0,0
37,False,7,1,0,0
38,False,6,12,0,0
39,False,5,11,0,0
40,False,4,10,0,0
41,False,3,9,0,0
42,False,2,8,0,0
43,False,1,7,0,0
44,False,13,6,0,0
45,False,12,5,0,0
46,False,11,4,0,0
47,False,10,3,0,0
48,False,9,2,0,0
49,False,8,1,0,0
50,False,7,14,0,0
51,False,6,13,0,0
52,False,5,12,0,0
53,False,4,11,0,0
54,False,3,10,0,0
55,False,2,9,0,0
56,False,1,8,0,0
57,False,15,7,0,0
58,False,14,6,0,0
59,False,13,5,0,0
60,False,12,4,0,0
61,False,11,3,0,0
62,False,10,2,0,0
63,False,9,1,0,0
64,False,8,17,0,0
65,False,7,16,0,0
66,False,6,15,0,0
67,False,5,14,0,0
68,False,4,13,0,0
69,False,3,12,0,0
70,False,2,11,0,0
71,False,1,10,0,0
72,False,18,9,0,0
73,False,17,8,0,0
74,False,16,7,0,0
75,False,15,6,0,0
76,False,14,5,0,0
77,False,13,4,0,0
78,False,12,3,0,0
79,False,11,2,0,0
80,False,10,1,0,0
81,False,9,17,0,0
82,False,8,16,0,0
83,False,7,15,0,0
84,False,6,14,0,0
85,False,5,13,0,0
86,False,4,12,0,0
87,False,3,11,0,0
88,False,2,10,0,0
89,False,1,9,0,0
90,False,16,8,0,0
91,False,15,7,0,0
92,False,14,6,0,0
93,False,13,5,0,0
94,False,12,4,0,0
95,False,11,3,0,0
96,False,10,2,0,0
97,False,9,1,0,0
98,False,8,16,0,0
99,False,7,15,0,0
100,False,6,14,0,0
101,False,5,13,0,0
102,False,4,12,0,0
103,False,3,11,0,0
104,False,2,10,0,0
105,False,1,9,0,0
106,True,16,8,3,0
107,True,15,7,3,0
108,True,14,6,3,0
109,True,13,5,3,0
110,True,12,4,3,0
111,True,11,3,3,0
112,True,10,2,3,0
113,True,9,1,3,0
114,True,8,16,3,2
115,True,7,15,3,2
116,True,6,14,3,2
117,True,5,13,3,2
118,True,4,12,3,2
119,True,3,11,3,2
120,True,2,10,3,2
121,True,1,9,3,2
122,True,15,8,2,2
123,True,14,7,2,2
124,True,13,6,2,2
125,True,12,5,2,2
126,True,11,4,2,2
127,True,10,3,2,2
128,True,9,2,2,2
129,True,8,1,2,2
130,True,7,14,2,1
131,True,6,13,2,1
132,True,5,12,2,1
133,True,4,11,2,1
134,True,3,10,2,1
135,True,2,9,2,1
136,True,1,8,2,1
137,True,14,7,1,1
138,True,13,6,1,1
139,True,12,5,1,1
140,True,11,4,1,1
141,True,10,3,1,1
142,True,9,2,1,1
143,True,8,1,1,1
144,True,7,14,1,0
145,True,6,13,1,0
146,True,5,12,1,0
147,True,4,11,1,0
148,True,3,10,1,0
149,True,2,9,1,0
150,True,1,8,1,0
151,False,14,7,0,0
152,False,13,6,0,0
153,False,12,5,0,0
154,False,11,4,0,0
155,False,10,3,0,0
156,False,9,2,0,0
157,False,8,1,0,0
158,False,7,13,0,0
159,False,6,12,0,0
160,False,5,11,0,0
161,False,4,10,0,0
162,False,3,9,0,0
163,False,2,8,0,0
164,False,1,7,0,0
165,False,13,6,0,0
166,False,12,5,0,0
167,False,11,4,0,0
168,False,10,3,0,0
169,False,9,2,0,0
170,False,8,1,0,0
171,False,7,13,0,0
172,False,6,12,0,0
173,False,5,11,0,0
174,False,4,10,0,0
175,False,3,9,0,0
176,False,2,8,0,0
177,False,1,7,0,0
178,False,13,6,0,0
179,False,12,5,0,0
180,False,11,4,0,0
181,False,10,3,0,0
182,False,9,2,0,0
183,False,8,1,0,0
184,False,7,14,0,0
185,False,6,13,0,0
186,False,5,12,0,0
187,False,4,11,0,0
188,False,3,10,0,0
189,False,2,9,0,0
190,False,1,8,0,0
191,False,13,7,0,0
192,False,12,6,0,0
193,False,11,5,0,0
194,False,10,4,0,0
195,False,9,3,0,0
196,False,8,2,0,0
197,False,7,1,0,0
198,False,6,13,0,0
199,False,5,12,0,0
200,False,4,11,0,0
201,False,3,10,0,0
202,False,2,9,0,0
203,False,1,8,0,0
204,False,14,7,0,0
205,False,13,6,0,0
206,False,12,5,0,0
207,False,11,4,0,0
208,False,10,3,0,0
209,False,9,2,0,0
210,False,8,1,0,0
211,False,7,14,0,0
212,False,6,13,0,0
213,False,5,12,0,0
214,False,4,11,0,0
215,False,3,10,0,0
216,False,2,9,0,0
217,False,1,8,0,0
218,False,15,7,0,0
219,False,14,6,0,0
220,False,13,5,0,0
221,False,12,4,0,0
222,False,11,3,0,0
223,False,10,2,0,0
224,False,9,1,0,0
225,False,8,15,0,0
226,False,7,14,0,0
227,False,6,13,0,0
228,False,5,12,0,0
229,False,4,11,0,0
230,False,3,10,0,0
231,False,2,9,0,0
232,False,1,8,0,0
233,False,14,7,0,0
234,False,13,6,0,0
235,False,12,5,0,0
236,False,11,4,0,0
237,False,10,3,0,0
238,False,9,2,0,0
239,False,8,1,0,0
240,False,7,14,0,0
241,False,6,13,0,0
242,False,5,12,0,0
243,False,4,11,0,0
244,False,3,10,0,0
245,False,2,9,0,0
246,False,1,8,0,0
247,False,13,7,0,0
248,False,12,6,0,0
249,False,11,5,0,0
250,False,10,4,0,0
251,False,9,3,0,0
252,False,8,2,0,0
253,False,7,1,0,0
254,False,6,12,0,0
255,False,5,11,0,0
256,False,4,10,0,0
257,False,3,9,0,0
258,False,2,8,0,0
259,False,1,7,0,0
260,False,13,6,0,0
261,False,12,5,0,0
262,False,11,4,0,0
263,False,10,3,0,0
264,False,9,2,0,0
265,False,8,1,0,0
266,False,7,14,0,0
267,False,6,13,0,0
268,False,5,12,0,0
269,False,4,11,0,0
270,False,3,10,0,0
271,False,2,9,0,0
272,False,1,8,0,0
273,True,13,7,3,0
274,True,12,6,3,0
275,True,11,5,3,0
276,True,10,4,3,0
277,True,9,3,3,0
278,True,8,2,3,0
279,True,7,1,3,0
280,True,6,13,3,3
281,True,5,12,3,3
282,True,4,11,3,3
283,True,3,10,3,3
284,True,2,9,3,3
285,True,1,8,3,3
286,True,14,7,2,3
287,True,13,6,2,3
288,True,12,5,2,3
289,True,11,4,2,3
290,True,10,3,2,3
291,True,9,2,2,3
292,True,8,1,2,3
293,True,7,14,2,2
294,True,6,13,2,2
295,True,5,12,2,2
296,True,4,11,2,2
297,True,3,10,2,2
298,True,2,9,2,2
299,True,1,8,2,2
300,True,14,7,1,2
301,True,13,6,1,2
302,True,12,5,1,2
303,True,11,4,1,2
304,True,10,3,1,2
305,True,9,2,1,2
306,True,8,1,1,2
307,True,7,15,1,1
308,True,6,14,1,1
309,True,5,13,1,1
310,True,4,12,1,1
311,True,3,11,1,1
312,True,2,10,1,1
313,True,1,9,1,1
314,True,16,8,0,1
315,True,15,7,0,1
316,True,14,6,0,1
317,True,13,5,0,1
318,True,12,4,0,1
319,True,11,3,0,1
320,True,10,2,0,1
321,True,9,1,0,1
322,False,8,16,0,0
323,False,7,15,0,0
324,False,6,14,0,0
325,False,5,13,0,0
326,False,4,12,0,0
327,False,3,11,0,0
328,False,2,10,0,0
329,False,1,9,0,0
330,False,15,8,0,0
331,False,14,7,0,0
332,False,13,6,0,0
333,False,12,5,0,0
334,False,11,4,0,0
335,False,10,3,0,0
336,False,9,2,0,0
337,False,8,1,0,0
338,False,7,15,0,0
339,False,6,14,0,0
340,False,5,13,0,0
341,False,4,12,0,0
342,False,3,11,0,0
343,False,2,10,0,0
344,False,1,9,0,0
345,False,15,8,0,0
346,False,14,7,0,0
347,False,13,6,0,0
348,False,12,5,0,0
349,False,11,4,0,0
350,False,10,3,0,0
351,False,9,2,0,0
352,False,8,1,0,0
353,False,7,15,0,0
354,False,6,14,0,0
355,False,5,13,0,0
356,False,4,12,0,0
357,False,3,11,0,0
358,False,2,10,0,0
359,False,1,9,0,0
360,False,16,8,0,0
361,False,15,7,0,0
362,False,14,6,0,0
363,False,13,5,0,0
364,False,12,4,0,0
365,False,11,3,0,0
366,False,10,2,0,0
367,False,9,1,0,0
368,False,8,15,0,0
369,False,7,14,0,0
370,False,6,13,0,0
371,False,5,12,0,0
372,False,4,11,0,0
373,False,3,10,0,0
374,False,2,9,0,0
375,False,1,8,0,0
376,False,14,7,0,0
377,False,13,6,0,0
378,False,12,5,0,0
379,False,11,4,0,0
380,False,10,3,0,0
381,False,9,2,0,0
382,False,8,1,0,0
383,False,7,14,0,0
384,False,6,13,0,0
385,False,5,12,0,0
386,False,4,11,0,0
387,False,3,10,0,0
388,False,2,9,0,0
389,False,1,8,0,0
390,False,15,7,0,0
391,False,14,6,0,0
392,False,13,5,0,0
393,False,12,4,0,0
394,False,11,3,0,0
395,False,10,2,0,0
396,False,9,1,0,0
397,False,8,18,0,0
398,False,7,17,0,0
399,False,6,16,0,0
400,False,5,15,0,0
401,False,4,14,0,0
402,False,3,13,0,0
403,False,2,12,0,0
404,False,1,11,0,0
405,False,18,10,0,0
406,False,17,9,0,0
407,False,16,8,0,0
408,False,15,7,0,0
409,False,14,6,0,0
410,False,13,5,0,0
411,False,12,4,0,0
412,False,11,3,0,0
413,False,10,2,0,0
414,False,9,1,0,0
415,False,8,16,0,0
416,False,7,15,0,0
417,False,6,14,0,0
418,False,5,13,0,0
419,False,4,12,0,0
420,False,3,11,0,0
421,False,2,10,0,0
422,False,1,9,0,0
423,False,15,8,0,0
424,False,14,7,0,0
425,False,13,6,0,0
426,False,12,5,0,0
427,False,11,4,0,0
428,False,10,3,0,0
429,False,9,2,0,0
430,False,8,1,0,0
431,False,7,14,0,0
432,False,6,13,0,0
433,False,5,12,0,0
434,False,4,11,0,0
435,False,3,10,0,0
436,False,2,9,0,0
437,False,1,8,0,0
438,False,14,7,0,0
439,False,13,6,0,0
440,False,12,5,0,0
441,False,11,4,0,0
442,False,10,3,0,0
443,False,9,2,0,0
444,False,8,1,0,0
445,False,7,14,0,0
446,False,6,13,0,0
447,False,5,12,0,0
448,False,4,11,0,0
449,False,3,10,0,0
450,False,2,9,0,0
451,False,1,8,0,0
452,False,14,7,0,0
453,False,13,6,0,0
454,False,12,5,0,0
455,False,11,4,0,0
456,False,10,3,0,0
457,False,9,2,0,0
458,False,8,1,0,0
459,False,7,14,0,0
460,False,6,13,0,0
461,False,5,12,0,0
462,False,4,11,0,0
463,False,3,10,0,0
464,False,2,9,0,0
465,False,1,8,0,0
466,False,13,7,0,0
467,False,12,6,0,0
468,False,11,5,0,0
469,False,10,4,0,0
470,False,9,3,0,0
471,False,8,2,0,0
472,False,7,1,0,0
473,False,6,12,0,0
474,False,5,11,0,0
475,False,4,10,0,0
476,False,3,9,0,0
477,False,2,8,0,0
478,False,1,7,0,0
479,False,13,6,0,0
480,False,12,5,0,0
481,False,11,4,0,0
482,False,10,3,0,0
483,False,9,2,0,0
484,False,8,1,0,0
485,False,7,13,0,0
486,False,6,12,0,0
487,False,5,11,0,0
488,False,4,10,0,0
489,False,3,9,0,0
490,False,2,8,0,0
491,False,1,7,0,0
492,False,13,6,0,0
493,False,12,5,0,0
494,False,11,4,0,0
495,False,10,3,0,0
496,False,9,2,0,0
497,False,8,1,0,0
498,False,7,15,0,0
499,False,6,14,0,0
500,False,5,13,0,0
501,False,4,12,0,0
502,False,3,11,0,0
503,False,2,10,0,0
504,False,1,9,0,0
505,False,15,8,0,0
506,False,14,7,0,0
507,False,13,6,0,0
508,False,12,5,0,0
509,False,11,4,0,0
510,False,10,3,0,0
511,False,9,2,0,0
512,False,8,1,0,0
513,False,7,14,0,0
514,False,6,13,0,0
515,False,5,12,0,0
516,False,4,11,0,0
517,False,3,10,0,0
518,False,2,9,0,0
519,False,1,8,0,0
520,False,13,7,0,0
521,False,12,6,0,0
522,False,11,5,0,0
523,False,10,4,0,0
524,False,9,3,0,0
525,False,8,2,0,0
526,False,7,1,0,0
527,False,6,11,0,0
528,False,5,10,0,0
529,False,4,9,0,0
530,False,3,8,0,0
531,False,2,7,0,0
532,False,1,6,0,0
533,False,11,5,0,0
534,False,10,4,0,0
535,False,9,3,0,0
536,False,8,2,0,0
537,False,7,1,0,0
538,False,6,13,0,0
539,False,5,12,0,0
540,False,4,11,0,0
541,False,3,10,0,0
542,False,2,9,0,0
543,False,1,8,0,0
544,False,13,7,0,0
545,False,12,6,0,0
546,False,11,5,0,0
547,False,10,4,0,0
548,False,9,3,0,0
549,False,8,2,0,0
550,False,7,1,0,0
551,False,6,14,0,0
552,False,5,13,0,0
553,False,4,12,0,0
554,False,3,11,0,0
555,False,2,10,0,0
556,False,1,9,0,0
557,False,15,8,0,0
558,False,14,7,0,0
559,False,13,6,0,0
560,False,12,5,0,0
561,False,11,4,0,0
562,False,10,3,0,0
563,False,9,2,0,0
564,False,8,1,0,0
565,False,7,15,0,0
566,False,6,14,0,0
567,False,5,13,0,0
568,False,4,12,0,0
569,False,3,11,0,0
570,False,2,10,0,0
571,False,1,9,0,0
572,True,16,8,2,0
573,True,15,7,2,0
574,True,14,6,2,0
575,True,13,5,2,0
576,True,12,4,2,0
577,True,11,3,2,0
578,True,10,2,2,0
579,True,9,1,2,0
580,True,8,15,2,1
581,True,7,14,2,1
582,True,6,13,2,1
583,True,5,12,2,1
584,True,4,11,2,1
585,True,3,10,2,1
586,True,2,9,2,1
587,True,1,8,2,1
588,True,15,7,1,1
589,True,14,6,1,1
590,True,13,5,1,1
591,True,12,4,1,1
592,True,11,3,1,1
593,True,10,2,1,1
594,True,9,1,1,1
595,True,8,16,1,0
596,True,7,15,1,0
597,True,6,14,1,0
598,True,5,13,1,0
599,True,4,12,1,0
600,True,3,11,1,0
601,True,2,10,1,0
602,True,1,9,1,0
603,False,17,8,0,0
604,False,16,7,0,0
605,False,15,6,0,0
606,False,14,5,0,0
607,False,13,4,0,0
608,False,12,3,0,0
609,False,11,2,0,0
610,False,10,1,0,0
611,False,9,18,0,0
612,False,8,17,0,0
613,False,7,16,0,0
614,False,6,15,0,0
615,False,5,14,0,0
616,False,4,13,0,0
617,False,3,12,0,0
618,False,2,11,0,0
619,False,1,10,0,0
620,True,17,9,1,0
621,True,16,8,1,0
622,True,15,7,1,0
623,True,14,6,1,0
624,True,13,5,1,0
625,True,12,4,1,0
626,True,11,3,1,0
627,True,10,2,1,0
628,True,9,1,1,0
629,True,8,16,1,1
630,True,7,15,1,1
631,True,6,14,1,1
632,True,5,13,1,1
633,True,4,12,1,1
634,True,3,11,1,1
635,True,2,10,1,1
636,True,1,9,1,1
637,True,17,8,0,1
638,True,16,7,0,1
639,True,15,6,0,1
640,True,14,5,0,1
641,True,13,4,0,1
642,True,12,3,0,1
643,True,11,2,0,1
644,True,10,1,0,1
645,False,9,19,0,0
646,False,8,18,0,0
647,False,7,17,0,0
648,False,6,16,0,0
649,False,5,15,0,0
650,False,4,14,0,0
651,False,3,13,0,0
652,False,2,12,0,0
653,False,1,11,0,0
654,False,19,10,0,0
655,False,18,9,0,0
656,False,17,8,0,0
657,False,16,7,0,0
658,False,15,6,0,0
659,False,14,5,0,0
660,False,13,4,0,0
661,False,12,3,0,0
662,False,11,2,0,0
663,False,10,1,0,0
664,False,9,17,0,0
665,False,8,16,0,0
666,False,7,15,0,0
667,False,6,14,0,0
668,False,5,13,0,0
669,False,4,12,0,0
670,False,3,11,0,0
671,False,2,10,0,0
672,False,1,9,0,0
673,False,16,8,0,0
674,False,15,7,0,0
675,False,14,6,0,0
676,False,13,5,0,0
677,False,12,4,0,0
678,False,11,3,0,0
679,False,10,2,0,0
680,False,9,1,0,0
681,False,8,16,0,0
682,False,7,15,0,0
683,False,6,14,0,0
684,False,5,13,0,0
685,False,4,12,0,0
686,False,3,11,0,0
687,False,2,10,0,0
688,False,1,9,0,0
689,False,15,8,0,0
690,False,14,7,0,0
691,False,13,6,0,0
692,False,12,5,0,0
693,False,11,4,0,0
694,False,10,3,0,0
695,False,9,2,0,0
696,False,8,1,0,0
697,False,7,13,0,0
698,False,6,12,0,0
699,False,5,11,0,0
700,False,4,10,0,0
701,False,3,9,0,0
702,False,2,8,0,0
703,False,1,7,0,0
704,False,12,6,0,0
705,False,11,5,0,0
706,False,10,4,0,0
707,False,9,3,0,0
708,False,8,2,0,0
709,False,7,1,0,0
710,True,6,14,0,3
711,True,5,13,0,3
712,True,4,12,0,3
713,True,3,11,0,3
714,True,2,10,0,3
715,True,1,9,0,3
716,True,15,8,2,3
717,True,14,7,2,3
718,True,13,6,2,3
719,True,12,5,2,3
720,True,11,4,2,3
721,True,10,3,2,3
722,True,9,2,2,3
723,True,8,1,2,3
724,True,7,15,2,2
725,True,6,14,2,2
726,True,5,13,2,2
727,True,4,12,2,2
728,True,3,11,2,2
729,True,2,10,2,2
730,True,1,9,2,2
731,True,15,8,1,2
732,True,14,7,1,2
733,True,13,6,1,2
734,True,12,5,1,2
735,True,11,4,1,2
736,True,10,3,1,2
737,True,9,2,1,2
738,True,8,1,1,2
739,True,7,14,1,1
740,True,6,13,1,1
741,True,5,12,1,1
742,True,4,11,1,1
743,True,3,10,1,1
744,True,2,9,1,1
745,True,1,8,1,1
746,True,15,7,0,1
747,True,14,6,0,1
748,True,13,5,0,1
749,True,12,4,0,1
750,True,11,3,0,1
751,True,10,2,0,1
752,True,9,1,0,1
753,False,8,15,0,0
754,False,7,14,0,0
755,False,6,13,0,0
756,False,5,12,0,0
757,False,4,11,0,0
758,False,3,10,0,0
759,False,2,9,0,0
760,False,1,8,0,0
761,False,16,7,0,0
762,False,15,6,0,0
763,False,14,5,0,0
764,False,13,4,0,0
765,False,12,3,0,0
766,False,11,2,0,0
767,False,10,1,0,0
768,False,9,20,0,0
769,False,8,19,0,0
770,False,7,18,0,0
771,False,6,17,0,0
772,False,5,16,0,0
773,False,4,15,0,0
774,False,3,14,0,0
775,False,2,13,0,0
776,False,1,12,0,0
777,False,19,11,0,0
778,False,18,10,0,0
779,False,17,9,0,0
780,False,16,8,0,0
781,False,15,7,0,0
782,False,14,6,0,0
783,False,13,5,0,0
784,False,12,4,0,0
785,False,11,3,0,0
786,False,10,2,0,0
787,False,9,1,0,0
788,False,8,15,0,0
789,False,7,14,0,0
790,False,6,13,0,0
791,False,5,12,0,0
792,False,4,11,0,0
793,False,3,10,0,0
794,False,2,9,0,0
795,False,1,8,0,0
796,False,15,7,0,0
797,False,14,6,0,0
798,False,13,5,0,0
799,False,12,4,0,0
800,False,11,3,0,0
801,False,10,2,0,0
802,False,9,1,0,0
803,False,8,15,0,0
804,False,7,14,0,0
805,False,6,13,0,0
806,False,5,12,0,0
807,False,4,11,0,0
808,False,3,10,0,0
809,False,2,9,0,0
810,False,1,8,0,0
811,False,15,7,0,0
812,False,14,6,0,0
813,False,13,5,0,0
814,False,12,4,0,0
815,False,11,3,0,0
816,False,10,2,0,0
817,False,9,1,0,0
818,False,8,15,0,0
819,False,7,14,0,0
820,False,6,13,0,0
821,False,5,12,0,0
822,False,4,11,0,0
823,False,3,10,0,0
824,False,2,9,0,0
825,False,1,8,0,0
826,False,14,7,0,0
827,False,13,6,0,0
828,False,12,5,0,0
829,False,11,4,0,0
830,False,10,3,0,0
831,False,9,2,0,0
832,False,8,1,0,0
833,False,7,14,0,0
834,False,6,13,0,0
835,False,5,12,0,0
